COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	-6	-2.5	0	2.5	5.5	7.5	5.5	4	5	1.5	-5	-2.5		1.3	12
1982	-2	-2.5	0.5	3	2	3	4	4.5	2.5	0.5	-5.5	-6		0.3	12
1983	-4.5	-4.5	-2	1	3.5	4	5.5	5	3.5	1	-2	-5.5		0.4	12
1984	-5	-2.5	0	2	3.5	2.5	6	4	2.5	2.5	-2.5	-4		0.8	12
1985	-5	-2	0	-1	3	5	3.5	5	1.5	-5	-3	-3		-0.1	12
1986	-7	-2	-4	5	5.5	8.5	6	4	5.5	0	0	-0.5		1.8	12
1987	0	0	0	2	5.5	8	6	8.5	5	0	1.5	-0.5		3	12
1988	-7	-0.5	1	6	7	6.5	8	7.5	4	2	-3	-2		2.5	12
1989	0	-5	-5.5	2	5	5.5	7.5	7	5	-0.5	2	-2		1.8	12
1990	0	0.5	-1	8.5	5	8.5	9	6.5	6	4.5	-5	2		3.7	12
1991	-1.5	1.5	3	10		4	8	6.5	5.5	5	-3	-1		3.5	11
1992	-5		3	3										0.3	3
2001	-2	-1	0	2	2	5	5	5	4	0	0	-2		1.5	12
2002	7													7	1
2004										8	2	-4		2	3
2005	-2	3	3.5	3.5	3.5	3	3	3	3	2	-1	-1		2	12
2006	-4	3	1	3	7	7	8	8	10	4	-1			4.2	11
2007	0	2	2	4	7	4	9	8	-1	-2	-1	1		2.8	12
2008	0	1	4	8	7	6	7	8	6	4	-3	-2		3.8	12
2009	0	-2	-1	4	7	8	9	7	9	7	2	-1		4.1	12
